PHEN	CHR	SNP	Pos	CI	LOD	Type	VarSex	VarDiet	VarGeno	VarGenoxDiet	VarGenoxSex
HCT	3	UNC5492395	71.28	59.875-72.822	4.423	S	0.544	0.303	0.574	4.431	0.789
Gal	2	UNC3540315	93.738	70.054-105.575	4.418	S	1.513	6.522	0.083	2.598	0.501
wt4month	2	UNC3946248	128.764	65.913-129.257	4.398	S	7.191	44.209	0.422	1.391	0.149
RDW	11	UNC110032934	19.373	18.955-31.224	4.39	S	3.843	3.823	0.192	4.347	0.838
HCT	13	UNC22311877	26.981	26.08-27.136	4.386	S	0.544	0.303	0.263	4.528	1.094
MCV	9	UNC16138281	34.278	33.479-34.874	4.379	S	0.008	0.352	0.413	4.494	2.398
Weight	12	backupJAX00333590	52.17	51.992-52.769	4.364	S	6.845	41.61	0.799	1.159	0.066
Cholesterol	14	UNC24233000	73.007	71.896-73.488	4.344	S	0.744	14.696	0.415	2.092	0.269
wt4month	14	JAX00384381	75.638	75.332-78.043	4.343	S	7.191	44.209	0.536	1.682	0.453
LDL	18	UNC29362814	59.202	58.388-60.607	4.332	S	0.279	10.065	0.127	2.156	0.212
wt4month	8	UNC14246894	16.819	15.11-19.242	4.328	S	7.191	44.209	0.386	1.078	0.152
HB	8	UNC15082479	80.325	79.381-85.648	4.328	S	0.302	0	0.864	4.07	0.169
wt6month	2	UNC3946576	128.784	128.373-128.98	4.323	S	5.395	45.448	0.451	1.104	0.205
wt6month	14	UNC24296885	77.475	76.375-78.043	4.318	S	5.395	45.448	0.637	1.78	0.134
Sial	1	JAX00006207	86.276	85.761-87.411	4.318	S	0.012	0.736	0.023	2.917	0.756
MonoGal	18	JAX00080014	6.685	5.385-10.035	4.315	S	1.653	10.449	0.143	2.431	0.189
Steatosis	11	UNC18994955	4.145	3.358-16.268	4.298	S	0.464	29.381	0.692	2.371	2.732
NAFLD	8	JAX00662100	16.482	15.662-17.113	4.271	S	1.85	41.16	0.192	1.802	0.236
Gal	5	UNC9649713	89.088	88.5-89.216	4.264	S	1.513	6.522	0.213	2.69	0.731
MCHC	2	UNC3042260	51.289	51.102-51.733	4.237	S	0.134	1.241	0.002	3.893	0.332
AGM	7	JAX00636398	38.096	37.307-38.195	4.228	S	0.768	0.191	0.131	3.559	1.152
Ballooning	6	UNC11106211	53.959	53.661-54.158	4.22	S	3.96	43.977	0.362	1.685	0.112
LDL	16	UNC27239527	81.722	80.837-83.824	4.218	S	0.279	10.065	0.56	2.249	0.09
NEperc	11	JAX00319350	97.407	97.04-98.594	4.212	S	0.442	3.604	0.376	4.15	1.557
Sialbygal	1	UNC1086363	86.756	85.761-87.411	4.197	S	0.268	6.858	0.062	2.726	0.51
HB	19	UNC30455037	50.482	49.579-53.457	4.195	S	0.302	0	0.126	4.402	0.77
MO	10	JAX00018358	57.53	53.257-61.105	4.191	S	2.248	0.228	0.386	4.308	1.303
termGal	18	JAX00080014	6.685	5.385-10.035	4.176	S	2.135	13.235	0.134	2.343	0.155
AbyM	17	UNC28300085	71.761	71.553-72.058	4.174	S	1.292	35.016	0.807	2.118	0.493
AG	7	JAX00150300	37.942	37.459-38.195	4.168	S	0.064	8.668	0.053	2.987	1.706
NAFLD	11	JAX00308174	36.686	36.131-37.073	4.159	S	1.85	41.16	0.269	1.738	0.439
wt2Month	11	JAX00025074	20.461	5.361-21.531	4.156	S	8.492	33.662	0.2	1.692	1.091
BA	8	UNC15749745	128.714	128.196-129.114	4.137	S	1.37	1.59	0.964	3.98	0.498
MCV	5	UNC9450845	72.9	72.783-73.116	4.134	S	0.008	0.352	0.046	4.355	1.297
LDL	7	UNC13808684	127.078	125.899-132.825	4.13	S	0.279	10.065	0.289	2.204	0.123
LYperc	7	UNC12478200	19.073	18.323-19.946	4.087	S	0.062	3.921	0.449	3.884	1.43
HCT	6	UNC12005865	123.78	122.635-124.97	4.057	S	0.544	0.303	0.347	4.056	0.641
Ballooning	14	UNC23661490	20.193	17.913-20.902	4.055	S	3.96	43.977	0.67	1.636	0.535
MCV	19	UNC30422044	48.11	47.849-48.165	4.039	S	0.008	0.352	0.909	4.555	1.479
G0	18	UNC180003063	5.841	5.385-11.554	4.034	S	1.513	6.504	0.176	3.232	0.17
Steatosis	13	UNC22129662	11.791	10.439-16.037	4.033	S	0.464	29.381	0.713	2.429	0.09
G0	2	UNC3678010	104.217	101.387-105.575	4.022	S	1.513	6.504	0.509	2.667	0.654
AG	12	UNC21495855	82.14	81.714-82.422	4.022	S	0.064	8.668	1.268	2.983	0.919
MPV	17	UNC27951599	47.868	47.763-48.582	4.015	S	0.67	1.32	0.237	4.638	0.143
MCV	8	UNC15545455	114.683	114.545-114.814	3.995	S	0.008	0.352	0.134	5.125	1.048
LY	10	JAX00018360	57.57	56.753-58.636	3.99	S	1.821	1.366	0.062	3.716	1.415
Steatosis	17	UNC27730871	28.061	28.006-31.676	3.972	S	0.464	29.381	0.835	2.244	0.155
MO	7	JAX00157728	138.663	138.071-138.864	3.964	S	2.248	0.228	0.25	4.678	1.088
IgA	12	JAX00328015	25.528	25.227-25.697	3.948	S	0.553	18.296	0.25	3.034	0.216
HB	16	UNC26676410	39.157	38.154-40.002	3.927	S	0.302	0	0.342	4.237	0.636
IgA	14	UNC24067629	59.068	58.685-61.07	3.863	S	0.553	18.296	0.347	2.346	0.654
RDW	16	UNC26542724	28.024	27.317-28.079	3.851	S	3.843	3.823	0.663	4.42	0.529
HCT	19	UNC30394720	46.365	46.326-46.544	3.808	S	0.544	0.303	0.316	3.755	1.426
